 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 19:30:34 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
                               9.296    0.254    0.3564      2.0046  
PIPE_I_current_PC[2]           5.407    0.229    0.3202      1.0473  
RISC_V_add_instruction_memory[3]
                               9.296    0.239    0.1777      0.9995  
PIPE_IV_next_PC[2]             5.951    0.186    0.2599      0.9358  
PIPE_I_instruction[4]         19.299    0.247    0.0627      0.7323  
PIPE_I_current_PC[3]           7.547    0.216    0.1597      0.7291  
IF_next_PC_PIPE_I[2]           3.280    0.745    0.3561      0.7066  
PIPE_I_instruction[5]         18.279    0.252    0.0637      0.7043  
Adder2_PIPE_II[2]              3.223    0.242    0.3057      0.5960  
RISC_V_add_instruction_memory[4]
                              10.720    0.212    0.0874      0.5671  
PIPE_IV_next_PC[3]             5.951    0.177    0.1306      0.4700  
PIPE_IV_RD[1]                 16.034    0.181    0.0479      0.4649  
PIPE_I_instruction[31]        11.552    0.234    0.0627      0.4379  
IF_next_PC_PIPE_I[3]           3.280    0.267    0.1973      0.3916  
PIPE_I_instruction[13]         9.623    0.251    0.0622      0.3619  
Adder2_PIPE_II[3]              3.223    0.240    0.1836      0.3580  
PIPE_I_instruction[2]          9.514    0.235    0.0620      0.3566  
PIPE_I_instruction[3]          9.584    0.237    0.0612      0.3546  
RS2_PIPE_II[2]                 8.986    0.236    0.0643      0.3493  
RS1_PIPE_II[2]                 8.986    0.240    0.0642      0.3491  
PIPE_I_instruction[20]         8.344    0.246    0.0658      0.3321  
PIPE_II_current_PC[2]          1.857    0.207    0.2890      0.3247  
PIPE_III_RD[4]                 9.620    0.192    0.0540      0.3144  
PIPE_I_instruction[6]          8.170    0.242    0.0630      0.3114  
PIPE_I_instruction[22]         8.205    0.240    0.0627      0.3113  
PIPE_III_RD[2]                 9.620    0.193    0.0535      0.3112  
PIPE_I_instruction[21]         8.383    0.235    0.0612      0.3104  
RS2_PIPE_II[0]                 7.606    0.242    0.0674      0.3100  
PIPE_I_instruction[23]         8.205    0.235    0.0624      0.3097  
PIPE_III_RD[1]                 9.618    0.201    0.0530      0.3084  
PIPE_III_RD[3]                 9.620    0.202    0.0528      0.3073  
PIPE_III_RD[0]                 9.618    0.191    0.0520      0.3024  
Immediate_PIPE_II[16]          7.608    0.247    0.0655      0.3013  
RS1_PIPE_II[1]                 7.492    0.243    0.0662      0.2999  
PIPE_I_instruction[14]         7.635    0.245    0.0636      0.2940  
Immediate_PIPE_II[18]          7.608    0.250    0.0634      0.2919  
Immediate_PIPE_II[3]           7.608    0.232    0.0631      0.2906  
PIPE_I_instruction[12]         7.797    0.245    0.0615      0.2901  
n1                            10.310    0.173    0.0464      0.2897  
RS1_PIPE_II[0]                 7.436    0.238    0.0643      0.2894  
