 
****************************************
Report : power
        -net
        -analysis_effort low
        -sort_mode net_switching_power
Design : RISC_V
Version: O-2018.06-SP4
Date   : Fri Feb  4 22:03:23 2022
****************************************


Library(s) Used:

    NangateOpenCellLibrary (File: /software/dk/nangate45/synopsys/NangateOpenCellLibrary_typical_ecsm_nowlm.db)


Operating Conditions: typical   Library: NangateOpenCellLibrary
Wire Load Model Mode: top

Design        Wire Load Model            Library
------------------------------------------------
RISC_V                 5K_hvratio_1_1    NangateOpenCellLibrary


Global Operating Voltage = 1.1  
Power-specific unit information :
    Voltage Units = 1V
    Capacitance Units = 1.000000ff
    Time Units = 1ns
    Dynamic Power Units = 1uW    (derived from V,C,T units)
    Leakage Power Units = 1nW



  Attributes
  ----------
      a  -  Switching activity information annotated on net
      d  -  Default switching activity information on net

                             Total      Static   Toggle   Switching
Net                          Net Load   Prob.    Rate     Power      Attrs
--------------------------------------------------------------------------------
RISC_V_add_instruction_memory[2]
                               9.296    0.255    0.3561      2.0025  
PIPE_I_current_PC[2]           5.407    0.229    0.3201      1.0471  
RISC_V_add_instruction_memory[3]
                               9.296    0.240    0.1777      0.9992  
PIPE_IV_next_PC[2]             5.951    0.186    0.2598      0.9355  
PIPE_I_instruction[4]         19.472    0.247    0.0627      0.7388  
PIPE_I_current_PC[3]           7.547    0.216    0.1594      0.7280  
IF_next_PC_PIPE_I[2]           3.280    0.745    0.3557      0.7059  
PIPE_I_instruction[5]         18.279    0.252    0.0637      0.7043  
Adder2_PIPE_II[2]              3.223    0.242    0.3055      0.5957  
PIPE_IV_RD[0]                 20.702    0.172    0.0462      0.5791  
RISC_V_add_instruction_memory[4]
                              10.720    0.212    0.0874      0.5669  
PIPE_I_instruction[31]        14.283    0.234    0.0627      0.5414  
PIPE_IV_RD[1]                 17.862    0.181    0.0478      0.5161  
PIPE_I_instruction[2]         13.307    0.235    0.0620      0.4988  
PIPE_IV_next_PC[3]             5.951    0.177    0.1305      0.4697  
PIPE_I_instruction[13]        11.044    0.251    0.0622      0.4154  
IF_next_PC_PIPE_I[3]           3.280    0.267    0.1972      0.3914  
Immediate_PIPE_II[16]          9.800    0.247    0.0655      0.3881  
Adder2_PIPE_II[3]              3.223    0.240    0.1833      0.3574  
RS1_PIPE_II[2]                 9.109    0.240    0.0640      0.3529  
PIPE_I_instruction[14]         9.037    0.245    0.0636      0.3480  
RS2_PIPE_II[2]                 8.829    0.236    0.0641      0.3425  
PIPE_I_instruction[12]         9.177    0.245    0.0615      0.3415  
PIPE_I_current_PC[4]           7.102    0.191    0.0793      0.3409  
PIPE_II_current_PC[2]          1.909    0.207    0.2887      0.3334  
PIPE_I_instruction[6]          8.718    0.242    0.0630      0.3322  
PIPE_I_instruction[20]         8.344    0.246    0.0658      0.3321  
Immediate_PIPE_II[5]           8.236    0.241    0.0648      0.3228  
PIPE_I_instruction[22]         8.205    0.240    0.0627      0.3113  
